name	gender	age_group	swim	T1	bike	T2	run	total	year	competition
Einar SIGURJÓNSSON	M	35	0:38:32	0:05:15	2:26:14	0:03:00	1:46:24	4:59:23	2018	Samorin championship
Ari ODDSSON	M	40	0:37:43	0:05:15	2:31:57	0:02:50	1:45:58	5:03:42	2018	Samorin championship
Trausti GUNNARSSON	M	55	0:34:07	0:05:27	2:31:27	0:04:27	1:52:59	5:08:26	2018	Samorin championship
Olafur GUNNARSSON,	M	45	0:46:52	0:05:35	2:34:34	0:03:30	1:42:46	5:13:13	2018	Samorin championship
LúðvíK ÁRNASON	M	45	0:42:19	0:04:35	2:35:37	0:03:08	1:51:55	5:17:32	2018	Samorin championship
Trausti VALDIMARSSON	M	60	0:37:41	0:04:45	2:34:50	0:03:26	1:59:12	5:19:53	2018	Samorin championship
Gudjon TRAUSTASON	M	40	0:35:33	0:04:41	2:33:47	0:03:39	2:09:32	5:27:10	2018	Samorin championship
Þorsteinn MÁSSON	M	35	0:41:54	0:05:31	2:36:09	0:04:01	2:09:02	5:36:36	2018	Samorin championship
Finnur SVEINSSON	M	50	0:42:36	0:06:36	2:39:26	0:04:52	2:38:09	6:11:36	2018	Samorin championship
Ragnar SVERRISSON	M	55	0:47:28	0:06:24	2:53:53	0:06:23	2:36:25	6:30:30	2018	Samorin championship
Katrin PALSDOTTIR	F	30	0:37:10	0:05:13	2:32:02	0:03:25	2:03:56	5:21:44	2018	Samorin championship
Gudrun HÖSKULDSDÓTTIR	F	35	0:37:58	0:04:41	2:43:24	0:03:13	2:00:43	5:29:58	2018	Samorin championship
Arkadius PRZYBYŁA	M	30	0:27:58	0:02:34	2:23:20	0:03:04	1:33:54	4:30:48	2023	Samorin championship
Katrín Pálsdóttir	F	40	0:33:27	0:05:30	2:47:10	0:02:24	1:45:56	5:14:29	2025	Challenge mogan
Ingi Poulsen 	M	35						7:04:46	2018	Challenge peguera
Bjarki Freyr Rúnarsson	M	18						4:18:52	2018	Challenge Lisboa
Halldór Hreinsson	M	50						5:42:18	2018	Challenge Lisboa
Kolbeinn Sigurðsson	M	55						6:02:40	2018	Challenge Lisboa
Björn Reynald Ingólfsson	M	55						6:12:32	2018	Challenge Lisboa
Kolbeinn Fannar Kristófersson	M	30	0:41:44	0:06:25	2:33:31	0:04:19	1:39:00	5:04:59	2025	Challenge Sandefjord
Ómar Þór Sigvaldason	M	40	0:45:02	0:04:45	2:32:22	0:02:26	1:40:28	5:05:03	2025	Challenge Sandefjord
Trausti Gunnarsson	M	60	0:32:56	0:05:23	2:40:35	0:04:38	1:48:40	5:12:13	2023	Challenge Kaiserwinkl
Rannveig Guicharnaud	F	40	0:32:54		2:52:27		2:01:06	5:35:24	2015	Challenge Almere
Kristín Steinadóttir	F	24	0:30:24		2:41:42		1:45:57	5:04:23	2016	Challenge Almere
Ingveldur Karlsdóttir	F	40	0:56:09		3:05:06		1:53:48	6:09:30	2018	Challenge Almere
Birna Íris Jónsdóttir	F	45	0:34:14		2:46:51		1:48:29	5:17:51	2018	Challenge Almere
Jón Ágúst Gunnlaugsson	M	60	0:46:10		3:14:48		2:13:16	6:26:13	2021	Challenge Almere
Arkadius PRZYBYŁA	M	30	0:28:31	0:03:23	2:37:41	0:03:23	1:29:19	4:41:34	2022	Gdansk Lotto
Arkadius PRZYBYŁA	M	30	0:28:14	0:02:37	2:28:39	0:02:28	1:26:46	4:28:44	2024	Gdansk Lotto
Ewa PRZYBYŁA	F	30	0:37:34	0:04:07	2:40:35	0:03:32	1:49:50	5:15:38	2024	Gdansk Lotto
Ragnar Guðmundsson	M	45	0:24:59	0:03:30	2:22:28	0:03:35	1:35:54	4:30:28	2017	Samorin championship
Viðar Þorsteinsson	M	40	0:29:11	0:03:54	2:14:25	0:02:52	1:44:27	4:34:48	2017	Samorin championship
Hjördís Ýr Ólafsdóttir 	F	35	0:35:06	0:03:41	2:33:31	0:03:41	1:40:51	4:56:50	2017	Samorin championship
Daníel Karlsson	M	30	0:34:02	0:04:33	2:29:27	0:03:17	1:53:38	5:04:57	2017	Samorin championship
Rannveig Guicharnaud	F	45	0:32:07	0:04:35	2:34:08	0:03:33	2:01:41	5:16:05	2017	Samorin championship
Birna Íris Jónsdóttir	F	40	0:32:18	0:04:43	2:41:08	0:03:23	1:58:18	5:19:50	2017	Samorin championship
Kristín Steinadóttir	F	35	0:32:02	0:04:15	2:43:50	0:04:18	2:07:06	5:31:31	2017	Samorin championship
Trausti Valdimarsson,	M	60	0:34:54	0:04:34	2:39:19	0:04:33	2:14:38	5:37:58	2017	Samorin championship
Guðjón Traustason	M	35	0:33:04	0:04:23	2:36:19	0:03:49	2:22:45	5:40:19	2017	Samorin championship
Guðrún HÖSKULDSDÓTTIR,	F	35	0:35:08	0:05:24	2:45:06	0:03:46	2:12:43	5:42:07	2017	Samorin championship
Óskar Örn Jónsson	M	50	0:33:42	0:04:39	2:36:54	0:03:51	2:25:51	5:44:56	2017	Samorin championship
Amanda Thompson	F	40	0:28:49	0:04:30	2:46:11	0:03:33	2:10:49	5:33:51	2017	Samorin championship
Anna Helgadóttir	F	45	0:35:37	0:05:40	2:49:25	0:04:19	2:20:40	5:55:42	2017	Samorin championship
Hákon Hrafn Sigurðson	M	40	0:29:24	0:03:37	2:10:39	0:03:16	1:27:16	4:14:10	2017	Samorin championship
Geir Ómarsson	M	50	00:31:14	03:27	02:16:39	01:56	01:28:07	04:21:25	2024	Ocean Lava Montenegro
Hákon Hrafn Sigurðsson	M	35.0	30:45:00	1:05	2:25:38	0:43	1:28:51	4:27:04	2012	Herbalife Iceland
Stefán Guðmundsson	M	18-39	29:48:00	0:48	2:33:13	1:00	1:26:13	4:31:05	2012	Herbalife Iceland
Geir Ómarsson	M	35.0	34:34:00	1:24	2:44:59	0:55	1:32:11	4:54:06	2012	Herbalife Iceland
Hörður Guðmundsson	M	18-39	26:30:00	0:40	2:53:57	1:23	1:41:40	5:04:13	2012	Herbalife Iceland
Magnús Fjalar Guðmundsson	M	18-39	35:05:00	1:33	2:45:17	0:57	1:42:12	5:05:07	2012	Herbalife Iceland
Birna Björnsdóttir	F	18-39	30:44:00	1:17	2:45:40	2:12	1:48:23	5:08:19	2012	Herbalife Iceland
Ásmundur Helgi Steindórsson	M	18-39	30:42:00	0:59	2:45:24	0:58	1:52:39	5:10:44	2012	Herbalife Iceland
Guðlaugur Stefá Egilsson	M	40-99	38:22:00	2:24	2:46:17	1:25	1:42:48	5:11:19	2012	Herbalife Iceland
Hörður Karlsson	M	18-39	32:56:00	1:12	3:00:23	1:23	1:43:54	5:19:51	2012	Herbalife Iceland
Grétar Snorrason	M	18-39	31:51:00	1:32	3:04:25	1:53	1:43:05	5:22:48	2012	Herbalife Iceland
Páll Ólafsson	M	18-39	41:46:00	1:58	2:53:41	1:04	1:45:10	5:23:43	2012	Herbalife Iceland
Alma María Rögnvaldsdóttir	F	40-99	36:43:00	1:10	2:57:46	0:42	1:47:29	5:23:52	2012	Herbalife Iceland
